✅ or ❌,page,initials,date
,urn:cite2:hmt:msA.v1:239v,,
,urn:cite2:hmt:msA.v1:240r,,
,urn:cite2:hmt:msA.v1:240v,,
,urn:cite2:hmt:msA.v1:241r,,
,urn:cite2:hmt:msA.v1:241v,,
,urn:cite2:hmt:msA.v1:242r,,
,urn:cite2:hmt:msA.v1:242v,,
,urn:cite2:hmt:msA.v1:243r,,
,urn:cite2:hmt:msA.v1:243v,,
,urn:cite2:hmt:msA.v1:244r,,
,urn:cite2:hmt:msA.v1:244v,,
,urn:cite2:hmt:msA.v1:245r,,
,urn:cite2:hmt:msA.v1:245v,,
,urn:cite2:hmt:msA.v1:246r,,
,urn:cite2:hmt:msA.v1:246v,,
,urn:cite2:hmt:msA.v1:247r,,
,urn:cite2:hmt:msA.v1:247v,,
,urn:cite2:hmt:msA.v1:248r,,
,urn:cite2:hmt:msA.v1:248v,,
,urn:cite2:hmt:msA.v1:249r,,
,urn:cite2:hmt:msA.v1:249v,,
,urn:cite2:hmt:msA.v1:250r,,
,urn:cite2:hmt:msA.v1:250v,,
,urn:cite2:hmt:msA.v1:251r,,
,urn:cite2:hmt:msA.v1:251v,,
,urn:cite2:hmt:msA.v1:252r,,
,urn:cite2:hmt:msA.v1:252v,,
,urn:cite2:hmt:msA.v1:253r,,
,urn:cite2:hmt:msA.v1:253v,,
,urn:cite2:hmt:msA.v1:254r,,
,urn:cite2:hmt:msA.v1:254v,,
,urn:cite2:hmt:msA.v1:255r,,
,urn:cite2:hmt:msA.v1:255v,,
,urn:cite2:hmt:msA.v1:256r,,
,urn:cite2:hmt:msA.v1:256v,,
,urn:cite2:hmt:msA.v1:257r,,
,urn:cite2:hmt:msA.v1:257v,,
,urn:cite2:hmt:msA.v1:258r,,
,urn:cite2:hmt:msA.v1:258v,,
,urn:cite2:hmt:msA.v1:259r,,
,urn:cite2:hmt:msA.v1:259v,,
,urn:cite2:hmt:msA.v1:260r,,
,urn:cite2:hmt:msA.v1:260v,,
,urn:cite2:hmt:msA.v1:261r,,
,urn:cite2:hmt:msA.v1:261v,,
,urn:cite2:hmt:msA.v1:262r,,
,urn:cite2:hmt:msA.v1:262v,,
,urn:cite2:hmt:msA.v1:263r,,
,urn:cite2:hmt:msA.v1:263v,,
,urn:cite2:hmt:msA.v1:264r,,
,urn:cite2:hmt:msA.v1:264v,,
,urn:cite2:hmt:msA.v1:265r,,
,urn:cite2:hmt:msA.v1:265v,,
,urn:cite2:hmt:msA.v1:266r,,
